434: Francky Catthoor, weight = 84313
435: Cheng Li, weight = 84227
436: Wei Feng, weight = 84110
437: Guihai Chen, weight = 84104
438: Jong Hyuk Park, weight = 84077
439: Yao Zhao, weight = 83994
440: Ling Li, weight = 83819
441: Yong He, weight = 83469
442: Xiaohu You, weight = 83467
443: Rui Chen, weight = 83264
444: Nicholas Ayache, weight = 83182
445: Yu Zheng, weight = 83133
446: Minglu Li, weight = 83122
447: Jiajun Bu, weight = 83102
448: Yang Zhao, weight = 83046
449: Xinbing Wang, weight = 82953
450: Carl Kesselman, weight = 82898
451: Li Yang, weight = 82757
452: Yan Sun, weight = 82733
453: Arthur W. Toga, weight = 82711
454: Cheng Chen, weight = 82711
455: Feng Zhang, weight = 82668
456: Xiaodong Li, weight = 82565
457: Changsheng Xu, weight = 82539
458: Alexander G. Hauptmann, weight = 82469
459: Yolanda Gil, weight = 82463
460: Rui Ma, weight = 82180
461: Li Yu, weight = 82125
462: Jianwei Niu, weight = 82087
463: Dinggang Shen, weight = 82074
464: Richard Durbin, weight = 82030
465: Hua Li, weight = 81984
466: Hui Xiong, weight = 81834
467: Wei Zheng, weight = 81762
468: Leonidas J. Guibas, weight = 81726
469: Fei Chen, weight = 81519
470: Yong Xu, weight = 81285
471: Jianxin Wang, weight = 81038
472: Min Liu, weight = 80981
473: Meng Li, weight = 80978
474: Dong Chen, weight = 80952
475: Xue Li, weight = 80874
476: Rui Liu, weight = 80847
477: Kian-Lee Tan, weight = 80704
478: Qian Liu, weight = 80469
479: Noga Alon, weight = 80274
480: Hong Jiang, weight = 80140
481: Jing Huang, weight = 80133
482: Yao Wang, weight = 79967
483: Yu Cao, weight = 79869
484: Dimitris N. Metaxas, weight = 79726
485: Heung-Yeung Shum, weight = 79663
486: Yu Zhao, weight = 79620
487: Qian Li, weight = 79576
488: Jianmin Wang 0001, weight = 79534
489: Qing Yang, weight = 79497
490: Juan Li, weight = 79484
491: Yonggang Wen, weight = 79422
492: Jin Zhang, weight = 79407
493: Qiang Wu, weight = 79290
